"profile","seconds","reference_seconds","max_reference_quantile_difference","seed_change_rms","seed_change_max"
"strict",0.278999999999996,68.74,3.61541907523133e-11,0.0130779533103467,0.0479857824357732
"diagnostic",0.233999999999995,68.74,2.98803421339144e-07,0.0130779533103467,0.0479857824357732
"loose",0.209999999999994,68.74,3.36831789999881e-05,0.0130779533103467,0.0479857824357732
