"case","y","mu","power","phi","mixture","inversion","package_series","wide_sum"
"moderate",10.6926502039188,5.64823599752356,1.5,1,0.902951218167403,0.902951218167402,0.902951218167403,0.902951218167403
"near_poisson",14.5648662757001,7.27959061821449,1.05,1,0.98916094763072,0.98916094272038,0.98916094763072,0.98916094763072
"near_gamma",0.0172035345478787,2.65810095277689,1.95,1,0.00848255515986618,0.00848255515986412,0.00848255515986618,0.00848255515986618
"small_dispersion",1.72958840045682,2.10911548192011,1.5,0.01,0.0120916053087155,0.0121515016137667,0.0120916053087158,0.0120916053087158
